position,name,type,varlab
1525,sQuint3_8,double,Survive to grade 8:Ages 10-19:Quintile 3
1526,sQuint4_8,double,Survive to grade 8:Ages 10-19:Quintile 4
1527,sQuint5_8,double,Survive to grade 8:Ages 10-19:Richest quintile
1528,sQuint1M_8,double,Survive to grade 8:Ages 10-19:Poorest quintile Male
1529,sQuint2M_8,double,Survive to grade 8:Ages 10-19:Quintile 2 Male
1530,sQuint3M_8,double,Survive to grade 8:Ages 10-19:Quintile 3 Male
1531,sQuint4M_8,double,Survive to grade 8:Ages 10-19:Quintile 4 Male
1532,sQuint5M_8,double,Survive to grade 8:Ages 10-19:Richest quintile Male
1533,sQuint1F_8,double,Survive to grade 8:Ages 10-19:Poorest quintile Female
1534,sQuint2F_8,double,Survive to grade 8:Ages 10-19:Quintile 2 Female
1535,sQuint3F_8,double,Survive to grade 8:Ages 10-19:Quintile 3 Female
1536,sQuint4F_8,double,Survive to grade 8:Ages 10-19:Quintile 4 Female
1537,sQuint5F_8,double,Survive to grade 8:Ages 10-19:Richest quintile Female
1538,sQuint12_8,double,Survive to grade 8:Ages 10-19:Quintiles 1&2
1539,sQuint34_8,double,Survive to grade 8:Ages 10-19:Quintiles 3&4
1540,sQuint12M_8,double,Survive to grade 8:Ages 10-19:Quintiles 1&2 Male
1541,sQuint34M_8,double,Survive to grade 8:Ages 10-19:Quintiles 3&4 Male
1542,sQuint12F_8,double,Survive to grade 8:Ages 10-19:Quintiles 1&2 Female
1543,sQuint34F_8,double,Survive to grade 8:Ages 10-19:Quintiles 3&4 Female
1544,sQuint1x_8,double,Survive to grade 8:Ages 10-19:Poorest quintile
1545,sQuint2x_8,double,Survive to grade 8:Ages 10-19:Quintile 2
1546,sQuint3x_8,double,Survive to grade 8:Ages 10-19:Quintile 3
1547,sQuint4x_8,double,Survive to grade 8:Ages 10-19:Quintile 4
1548,sQuint5x_8,double,Survive to grade 8:Ages 10-19:Richest quintile
1549,sQuint1Mx_8,double,Survive to grade 8:Ages 10-19:Poorest quintile Male
1550,sQuint2Mx_8,double,Survive to grade 8:Ages 10-19:Quintile 2 Male
1551,sQuint3Mx_8,double,Survive to grade 8:Ages 10-19:Quintile 3 Male
1552,sQuint4Mx_8,double,Survive to grade 8:Ages 10-19:Quintile 4 Male
1553,sQuint5Mx_8,double,Survive to grade 8:Ages 10-19:Richest quintile Male
1554,sQuint1Fx_8,double,Survive to grade 8:Ages 10-19:Poorest quintile Female
1555,sQuint2Fx_8,double,Survive to grade 8:Ages 10-19:Quintile 2 Female
1556,sQuint3Fx_8,double,Survive to grade 8:Ages 10-19:Quintile 3 Female
1557,sQuint4Fx_8,double,Survive to grade 8:Ages 10-19:Quintile 4 Female
1558,sQuint5Fx_8,double,Survive to grade 8:Ages 10-19:Richest quintile Female
1559,sQuint12x_8,double,Survive to grade 8:Ages 10-19:Quintiles 1&2
1560,sQuint34x_8,double,Survive to grade 8:Ages 10-19:Quintiles 3&4
1561,sQuint12Mx_8,double,Survive to grade 8:Ages 10-19:Quintiles 1&2 Male
1562,sQuint34Mx_8,double,Survive to grade 8:Ages 10-19:Quintiles 3&4 Male
1563,sQuint12Fx_8,double,Survive to grade 8:Ages 10-19:Quintiles 1&2 Female
1564,sQuint34Fx_8,double,Survive to grade 8:Ages 10-19:Quintiles 3&4 Female
1565,sQuint1U_8,double,Survive to grade 8: Ages 10-19: Quintile 1 Urban
1566,sQuint2U_8,double,Survive to grade 8: Ages 10-19: Quintile 2 Urban
1567,sQuint3U_8,double,Survive to grade 8: Ages 10-19: Quintile 3 Urban
1568,sQuint4U_8,double,Survive to grade 8: Ages 10-19: Quintile 4 Urban
1569,sQuint5U_8,double,Survive to grade 8: Ages 10-19: Quintile 5 Urban
1570,sQuint1R_8,double,Survive to grade 8: Ages 10-19: Quintile 1 Rural
1571,sQuint2R_8,double,Survive to grade 8: Ages 10-19: Quintile 2 Rural
1572,sQuint3R_8,double,Survive to grade 8: Ages 10-19: Quintile 3 Rural
1573,sQuint4R_8,double,Survive to grade 8: Ages 10-19: Quintile 4 Rural
1574,sQuint5R_8,double,Survive to grade 8: Ages 10-19: Quintile 5 Rural
1575,sQuint12U_8,double,Survive to grade 8: Ages 10-19: Quintiles 1&2 Urban
1576,sQuint34U_8,double,Survive to grade 8: Ages 10-19: Quintiles 3&4 Urban
1577,sQuint12R_8,double,Survive to grade 8: Ages 10-19: Quintiles 1&2 Rural
1578,sQuint34R_8,double,Survive to grade 8: Ages 10-19: Quintiles 3&4 Rural
1579,sQuint1Ux_8,double,Survive to grade 8: Ages 10-19: Quintile 1 Urban
1580,sQuint2Ux_8,double,Survive to grade 8: Ages 10-19: Quintile 2 Urban
1581,sQuint3Ux_8,double,Survive to grade 8: Ages 10-19: Quintile 3 Urban
1582,sQuint4Ux_8,double,Survive to grade 8: Ages 10-19: Quintile 4 Urban
1583,sQuint5Ux_8,double,Survive to grade 8: Ages 10-19: Quintile 5 Urban
1584,sQuint1Rx_8,double,Survive to grade 8: Ages 10-19: Quintile 1 Rural
1585,sQuint2Rx_8,double,Survive to grade 8: Ages 10-19: Quintile 2 Rural
1586,sQuint3Rx_8,double,Survive to grade 8: Ages 10-19: Quintile 3 Rural
1587,sQuint4Rx_8,double,Survive to grade 8: Ages 10-19: Quintile 4 Rural
1588,sQuint5Rx_8,double,Survive to grade 8: Ages 10-19: Quintile 5 Rural
1589,sQuint12Ux_8,double,Survive to grade 8: Ages 10-19: Quintiles 1&2 Urban
1590,sQuint34Ux_8,double,Survive to grade 8: Ages 10-19: Quintiles 3&4 Urban
1591,sQuint12Rx_8,double,Survive to grade 8: Ages 10-19: Quintiles 1&2 Rural
1592,sQuint34Rx_8,double,Survive to grade 8: Ages 10-19: Quintiles 3&4 Rural
1593,sAll_9,double,Survive to grade 9:Ages 10-19:All
1594,sUrban_9,double,Survive to grade 9:Ages 10-19:Urban
1595,sRural_9,double,Survive to grade 9:Ages 10-19:Rural
1596,sMale_9,double,Survive to grade 9:Ages 10-19:Male
1597,sFemale_9,double,Survive to grade 9:Ages 10-19:Female
1598,sMalUrb_9,double,Survive to grade 9:Ages 10-19:Male Urban
1599,sMalRur_9,double,Survive to grade 9:Ages 10-19:Male Rural
1600,sFemUrb_9,double,Survive to grade 9:Ages 10-19:Female Urban
1601,sFemRur_9,double,Survive to grade 9:Ages 10-19:Female Rural
1602,sQuint1_9,double,Survive to grade 9:Ages 10-19:Poorest quintile
1603,sQuint2_9,double,Survive to grade 9:Ages 10-19:Quintile 2
1604,sQuint3_9,double,Survive to grade 9:Ages 10-19:Quintile 3
1605,sQuint4_9,double,Survive to grade 9:Ages 10-19:Quintile 4
1606,sQuint5_9,double,Survive to grade 9:Ages 10-19:Richest quintile
1607,sQuint1M_9,double,Survive to grade 9:Ages 10-19:Poorest quintile Male
1608,sQuint2M_9,double,Survive to grade 9:Ages 10-19:Quintile 2 Male
1609,sQuint3M_9,double,Survive to grade 9:Ages 10-19:Quintile 3 Male
1610,sQuint4M_9,double,Survive to grade 9:Ages 10-19:Quintile 4 Male
1611,sQuint5M_9,double,Survive to grade 9:Ages 10-19:Richest quintile Male
1612,sQuint1F_9,double,Survive to grade 9:Ages 10-19:Poorest quintile Female
1613,sQuint2F_9,double,Survive to grade 9:Ages 10-19:Quintile 2 Female
1614,sQuint3F_9,double,Survive to grade 9:Ages 10-19:Quintile 3 Female
1615,sQuint4F_9,double,Survive to grade 9:Ages 10-19:Quintile 4 Female
1616,sQuint5F_9,double,Survive to grade 9:Ages 10-19:Richest quintile Female
1617,sQuint12_9,double,Survive to grade 9:Ages 10-19:Quintiles 1&2
1618,sQuint34_9,double,Survive to grade 9:Ages 10-19:Quintiles 3&4
1619,sQuint12M_9,double,Survive to grade 9:Ages 10-19:Quintiles 1&2 Male
1620,sQuint34M_9,double,Survive to grade 9:Ages 10-19:Quintiles 3&4 Male
1621,sQuint12F_9,double,Survive to grade 9:Ages 10-19:Quintiles 1&2 Female
1622,sQuint34F_9,double,Survive to grade 9:Ages 10-19:Quintiles 3&4 Female
1623,sQuint1x_9,double,Survive to grade 9:Ages 10-19:Poorest quintile
1624,sQuint2x_9,double,Survive to grade 9:Ages 10-19:Quintile 2
1625,sQuint3x_9,double,Survive to grade 9:Ages 10-19:Quintile 3
1626,sQuint4x_9,double,Survive to grade 9:Ages 10-19:Quintile 4
1627,sQuint5x_9,double,Survive to grade 9:Ages 10-19:Richest quintile
1628,sQuint1Mx_9,double,Survive to grade 9:Ages 10-19:Poorest quintile Male
1629,sQuint2Mx_9,double,Survive to grade 9:Ages 10-19:Quintile 2 Male
1630,sQuint3Mx_9,double,Survive to grade 9:Ages 10-19:Quintile 3 Male
1631,sQuint4Mx_9,double,Survive to grade 9:Ages 10-19:Quintile 4 Male
1632,sQuint5Mx_9,double,Survive to grade 9:Ages 10-19:Richest quintile Male
1633,sQuint1Fx_9,double,Survive to grade 9:Ages 10-19:Poorest quintile Female
1634,sQuint2Fx_9,double,Survive to grade 9:Ages 10-19:Quintile 2 Female
1635,sQuint3Fx_9,double,Survive to grade 9:Ages 10-19:Quintile 3 Female
1636,sQuint4Fx_9,double,Survive to grade 9:Ages 10-19:Quintile 4 Female
1637,sQuint5Fx_9,double,Survive to grade 9:Ages 10-19:Richest quintile Female
1638,sQuint12x_9,double,Survive to grade 9:Ages 10-19:Quintiles 1&2
1639,sQuint34x_9,double,Survive to grade 9:Ages 10-19:Quintiles 3&4
1640,sQuint12Mx_9,double,Survive to grade 9:Ages 10-19:Quintiles 1&2 Male
1641,sQuint34Mx_9,double,Survive to grade 9:Ages 10-19:Quintiles 3&4 Male
1642,sQuint12Fx_9,double,Survive to grade 9:Ages 10-19:Quintiles 1&2 Female
1643,sQuint34Fx_9,double,Survive to grade 9:Ages 10-19:Quintiles 3&4 Female
1644,sQuint1U_9,double,Survive to grade 9: Ages 10-19: Quintile 1 Urban
1645,sQuint2U_9,double,Survive to grade 9: Ages 10-19: Quintile 2 Urban
1646,sQuint3U_9,double,Survive to grade 9: Ages 10-19: Quintile 3 Urban
1647,sQuint4U_9,double,Survive to grade 9: Ages 10-19: Quintile 4 Urban
1648,sQuint5U_9,double,Survive to grade 9: Ages 10-19: Quintile 5 Urban
1649,sQuint1R_9,double,Survive to grade 9: Ages 10-19: Quintile 1 Rural
1650,sQuint2R_9,double,Survive to grade 9: Ages 10-19: Quintile 2 Rural
1651,sQuint3R_9,double,Survive to grade 9: Ages 10-19: Quintile 3 Rural
1652,sQuint4R_9,double,Survive to grade 9: Ages 10-19: Quintile 4 Rural
1653,sQuint5R_9,double,Survive to grade 9: Ages 10-19: Quintile 5 Rural
1654,sQuint12U_9,double,Survive to grade 9: Ages 10-19: Quintiles 1&2 Urban
1655,sQuint34U_9,double,Survive to grade 9: Ages 10-19: Quintiles 3&4 Urban
1656,sQuint12R_9,double,Survive to grade 9: Ages 10-19: Quintiles 1&2 Rural
1657,sQuint34R_9,double,Survive to grade 9: Ages 10-19: Quintiles 3&4 Rural
1658,sQuint1Ux_9,double,Survive to grade 9: Ages 10-19: Quintile 1 Urban
1659,sQuint2Ux_9,double,Survive to grade 9: Ages 10-19: Quintile 2 Urban
1660,sQuint3Ux_9,double,Survive to grade 9: Ages 10-19: Quintile 3 Urban
1661,sQuint4Ux_9,double,Survive to grade 9: Ages 10-19: Quintile 4 Urban
1662,sQuint5Ux_9,double,Survive to grade 9: Ages 10-19: Quintile 5 Urban
1663,sQuint1Rx_9,double,Survive to grade 9: Ages 10-19: Quintile 1 Rural
1664,sQuint2Rx_9,double,Survive to grade 9: Ages 10-19: Quintile 2 Rural
1665,sQuint3Rx_9,double,Survive to grade 9: Ages 10-19: Quintile 3 Rural
1666,sQuint4Rx_9,double,Survive to grade 9: Ages 10-19: Quintile 4 Rural
1667,sQuint5Rx_9,double,Survive to grade 9: Ages 10-19: Quintile 5 Rural
1668,sQuint12Ux_9,double,Survive to grade 9: Ages 10-19: Quintiles 1&2 Urban
1669,sQuint34Ux_9,double,Survive to grade 9: Ages 10-19: Quintiles 3&4 Urban
1670,sQuint12Rx_9,double,Survive to grade 9: Ages 10-19: Quintiles 1&2 Rural
1671,sQuint34Rx_9,double,Survive to grade 9: Ages 10-19: Quintiles 3&4 Rural
1672,eAll_6,float,Ever enrolled: Age 6:All
1673,eUrban_6,float,Ever enrolled: Age 6:Urban
1674,eRural_6,float,Ever enrolled: Age 6:Rural
1675,eMale_6,float,Ever enrolled: Age 6:Male
1676,eFemale_6,float,Ever enrolled: Age 6:Female
1677,eMalUrb_6,float,Ever enrolled: Age 6:Male Urban
1678,eMalRur_6,float,Ever enrolled: Age 6:Male Rural
1679,eFemUrb_6,float,Ever enrolled: Age 6:Female Urban
1680,eFemRur_6,float,Ever enrolled: Age 6:Female Rural
1681,eQuint1_6,float,Ever enrolled: Age 6:Poorest quintile
1682,eQuint2_6,float,Ever enrolled: Age 6:Quintile 2
1683,eQuint3_6,float,Ever enrolled: Age 6:Quintile 3
1684,eQuint4_6,float,Ever enrolled: Age 6:Quintile 4
1685,eQuint5_6,float,Ever enrolled: Age 6:Richest quintile
1686,eQuint12_6,float,Ever enrolled: Age 6:Quintiles 1&2
1687,eQuint34_6,float,Ever enrolled: Age 6:Quintiles 3&4
1688,eQuint1x_6,float,Ever enrolled: Age 6:Poorest quintile
1689,eQuint2x_6,float,Ever enrolled: Age 6:Quintile 2
1690,eQuint3x_6,float,Ever enrolled: Age 6:Quintile 3
1691,eQuint4x_6,float,Ever enrolled: Age 6:Quintile 4
1692,eQuint5x_6,float,Ever enrolled: Age 6:Richest quintile
1693,eQuint12x_6,float,Ever enrolled: Age 6:Quintiles 1&2
1694,eQuint34x_6,float,Ever enrolled: Age 6:Quintiles 3&4
1695,eAll_7,float,Ever enrolled: Age 7:All
1696,eUrban_7,float,Ever enrolled: Age 7:Urban
1697,eRural_7,float,Ever enrolled: Age 7:Rural
1698,eMale_7,float,Ever enrolled: Age 7:Male
1699,eFemale_7,float,Ever enrolled: Age 7:Female
1700,eMalUrb_7,float,Ever enrolled: Age 7:Male Urban
1701,eMalRur_7,float,Ever enrolled: Age 7:Male Rural
1702,eFemUrb_7,float,Ever enrolled: Age 7:Female Urban
1703,eFemRur_7,float,Ever enrolled: Age 7:Female Rural
1704,eQuint1_7,float,Ever enrolled: Age 7:Poorest quintile
1705,eQuint2_7,float,Ever enrolled: Age 7:Quintile 2
1706,eQuint3_7,float,Ever enrolled: Age 7:Quintile 3
1707,eQuint4_7,float,Ever enrolled: Age 7:Quintile 4
1708,eQuint5_7,float,Ever enrolled: Age 7:Richest quintile
1709,eQuint12_7,float,Ever enrolled: Age 7:Quintiles 1&2
1710,eQuint34_7,float,Ever enrolled: Age 7:Quintiles 3&4
1711,eQuint1x_7,float,Ever enrolled: Age 7:Poorest quintile
1712,eQuint2x_7,float,Ever enrolled: Age 7:Quintile 2
1713,eQuint3x_7,float,Ever enrolled: Age 7:Quintile 3
1714,eQuint4x_7,float,Ever enrolled: Age 7:Quintile 4
1715,eQuint5x_7,float,Ever enrolled: Age 7:Richest quintile
1716,eQuint12x_7,float,Ever enrolled: Age 7:Quintiles 1&2
1717,eQuint34x_7,float,Ever enrolled: Age 7:Quintiles 3&4
1718,eAll_8,float,Ever enrolled: Age 8:All
1719,eUrban_8,float,Ever enrolled: Age 8:Urban
1720,eRural_8,float,Ever enrolled: Age 8:Rural
1721,eMale_8,float,Ever enrolled: Age 8:Male
1722,eFemale_8,float,Ever enrolled: Age 8:Female
1723,eMalUrb_8,float,Ever enrolled: Age 8:Male Urban
1724,eMalRur_8,float,Ever enrolled: Age 8:Male Rural
1725,eFemUrb_8,float,Ever enrolled: Age 8:Female Urban
1726,eFemRur_8,float,Ever enrolled: Age 8:Female Rural
1727,eQuint1_8,float,Ever enrolled: Age 8:Poorest quintile
1728,eQuint2_8,float,Ever enrolled: Age 8:Quintile 2
1729,eQuint3_8,float,Ever enrolled: Age 8:Quintile 3
1730,eQuint4_8,float,Ever enrolled: Age 8:Quintile 4
1731,eQuint5_8,float,Ever enrolled: Age 8:Richest quintile
1732,eQuint12_8,float,Ever enrolled: Age 8:Quintiles 1&2
1733,eQuint34_8,float,Ever enrolled: Age 8:Quintiles 3&4
1734,eQuint1x_8,float,Ever enrolled: Age 8:Poorest quintile
1735,eQuint2x_8,float,Ever enrolled: Age 8:Quintile 2
1736,eQuint3x_8,float,Ever enrolled: Age 8:Quintile 3
1737,eQuint4x_8,float,Ever enrolled: Age 8:Quintile 4
1738,eQuint5x_8,float,Ever enrolled: Age 8:Richest quintile
1739,eQuint12x_8,float,Ever enrolled: Age 8:Quintiles 1&2
1740,eQuint34x_8,float,Ever enrolled: Age 8:Quintiles 3&4
1741,eAll_9,float,Ever enrolled: Age 9:All
1742,eUrban_9,float,Ever enrolled: Age 9:Urban
1743,eRural_9,float,Ever enrolled: Age 9:Rural
1744,eMale_9,float,Ever enrolled: Age 9:Male
1745,eFemale_9,float,Ever enrolled: Age 9:Female
1746,eMalUrb_9,float,Ever enrolled: Age 9:Male Urban
1747,eMalRur_9,float,Ever enrolled: Age 9:Male Rural
1748,eFemUrb_9,float,Ever enrolled: Age 9:Female Urban
1749,eFemRur_9,float,Ever enrolled: Age 9:Female Rural
1750,eQuint1_9,float,Ever enrolled: Age 9:Poorest quintile
1751,eQuint2_9,float,Ever enrolled: Age 9:Quintile 2
1752,eQuint3_9,float,Ever enrolled: Age 9:Quintile 3
1753,eQuint4_9,float,Ever enrolled: Age 9:Quintile 4
1754,eQuint5_9,float,Ever enrolled: Age 9:Richest quintile
1755,eQuint12_9,float,Ever enrolled: Age 9:Quintiles 1&2
1756,eQuint34_9,float,Ever enrolled: Age 9:Quintiles 3&4
1757,eQuint1x_9,float,Ever enrolled: Age 9:Poorest quintile
1758,eQuint2x_9,float,Ever enrolled: Age 9:Quintile 2
1759,eQuint3x_9,float,Ever enrolled: Age 9:Quintile 3
1760,eQuint4x_9,float,Ever enrolled: Age 9:Quintile 4
1761,eQuint5x_9,float,Ever enrolled: Age 9:Richest quintile
1762,eQuint12x_9,float,Ever enrolled: Age 9:Quintiles 1&2
1763,eQuint34x_9,float,Ever enrolled: Age 9:Quintiles 3&4
1764,eAll_10,float,Ever enrolled: Age 10:All
1765,eUrban_10,float,Ever enrolled: Age 10:Urban
1766,eRural_10,float,Ever enrolled: Age 10:Rural
1767,eMale_10,float,Ever enrolled: Age 10:Male
1768,eFemale_10,float,Ever enrolled: Age 10:Female
1769,eMalUrb_10,float,Ever enrolled: Age 10:Male Urban
1770,eMalRur_10,float,Ever enrolled: Age 10:Male Rural
1771,eFemUrb_10,float,Ever enrolled: Age 10:Female Urban
1772,eFemRur_10,float,Ever enrolled: Age 10:Female Rural
1773,eQuint1_10,float,Ever enrolled: Age 10:Poorest quintile
1774,eQuint2_10,float,Ever enrolled: Age 10:Quintile 2
1775,eQuint3_10,float,Ever enrolled: Age 10:Quintile 3
1776,eQuint4_10,float,Ever enrolled: Age 10:Quintile 4
1777,eQuint5_10,float,Ever enrolled: Age 10:Richest quintile
1778,eQuint12_10,float,Ever enrolled: Age 10:Quintiles 1&2
1779,eQuint34_10,float,Ever enrolled: Age 10:Quintiles 3&4
1780,eQuint1x_10,float,Ever enrolled: Age 10:Poorest quintile
1781,eQuint2x_10,float,Ever enrolled: Age 10:Quintile 2
1782,eQuint3x_10,float,Ever enrolled: Age 10:Quintile 3
1783,eQuint4x_10,float,Ever enrolled: Age 10:Quintile 4
1784,eQuint5x_10,float,Ever enrolled: Age 10:Richest quintile
1785,eQuint12x_10,float,Ever enrolled: Age 10:Quintiles 1&2
1786,eQuint34x_10,float,Ever enrolled: Age 10:Quintiles 3&4
1787,eAll_11,float,Ever enrolled: Age 11:All
1788,eUrban_11,float,Ever enrolled: Age 11:Urban
1789,eRural_11,float,Ever enrolled: Age 11:Rural
1790,eMale_11,float,Ever enrolled: Age 11:Male
1791,eFemale_11,float,Ever enrolled: Age 11:Female
1792,eMalUrb_11,float,Ever enrolled: Age 11:Male Urban
1793,eMalRur_11,float,Ever enrolled: Age 11:Male Rural
1794,eFemUrb_11,float,Ever enrolled: Age 11:Female Urban
1795,eFemRur_11,float,Ever enrolled: Age 11:Female Rural
1796,eQuint1_11,float,Ever enrolled: Age 11:Poorest quintile
1797,eQuint2_11,float,Ever enrolled: Age 11:Quintile 2
1798,eQuint3_11,float,Ever enrolled: Age 11:Quintile 3
1799,eQuint4_11,float,Ever enrolled: Age 11:Quintile 4
1800,eQuint5_11,float,Ever enrolled: Age 11:Richest quintile
1801,eQuint12_11,float,Ever enrolled: Age 11:Quintiles 1&2
1802,eQuint34_11,float,Ever enrolled: Age 11:Quintiles 3&4
1803,eQuint1x_11,float,Ever enrolled: Age 11:Poorest quintile
1804,eQuint2x_11,float,Ever enrolled: Age 11:Quintile 2
1805,eQuint3x_11,float,Ever enrolled: Age 11:Quintile 3
1806,eQuint4x_11,float,Ever enrolled: Age 11:Quintile 4
1807,eQuint5x_11,float,Ever enrolled: Age 11:Richest quintile
1808,eQuint12x_11,float,Ever enrolled: Age 11:Quintiles 1&2
1809,eQuint34x_11,float,Ever enrolled: Age 11:Quintiles 3&4
1810,eAll_12,float,Ever enrolled: Age 12:All
1811,eUrban_12,float,Ever enrolled: Age 12:Urban
1812,eRural_12,float,Ever enrolled: Age 12:Rural
1813,eMale_12,float,Ever enrolled: Age 12:Male
1814,eFemale_12,float,Ever enrolled: Age 12:Female
1815,eMalUrb_12,float,Ever enrolled: Age 12:Male Urban
1816,eMalRur_12,float,Ever enrolled: Age 12:Male Rural
1817,eFemUrb_12,float,Ever enrolled: Age 12:Female Urban
1818,eFemRur_12,float,Ever enrolled: Age 12:Female Rural
1819,eQuint1_12,float,Ever enrolled: Age 12:Poorest quintile
1820,eQuint2_12,float,Ever enrolled: Age 12:Quintile 2
1821,eQuint3_12,float,Ever enrolled: Age 12:Quintile 3
1822,eQuint4_12,float,Ever enrolled: Age 12:Quintile 4
1823,eQuint5_12,float,Ever enrolled: Age 12:Richest quintile
1824,eQuint12_12,float,Ever enrolled: Age 12:Quintiles 1&2
1825,eQuint34_12,float,Ever enrolled: Age 12:Quintiles 3&4
1826,eQuint1x_12,float,Ever enrolled: Age 12:Poorest quintile
1827,eQuint2x_12,float,Ever enrolled: Age 12:Quintile 2
1828,eQuint3x_12,float,Ever enrolled: Age 12:Quintile 3
1829,eQuint4x_12,float,Ever enrolled: Age 12:Quintile 4
1830,eQuint5x_12,float,Ever enrolled: Age 12:Richest quintile
1831,eQuint12x_12,float,Ever enrolled: Age 12:Quintiles 1&2
1832,eQuint34x_12,float,Ever enrolled: Age 12:Quintiles 3&4
1833,eAll_13,float,Ever enrolled: Age 13:All
1834,eUrban_13,float,Ever enrolled: Age 13:Urban
1835,eRural_13,float,Ever enrolled: Age 13:Rural
1836,eMale_13,float,Ever enrolled: Age 13:Male
1837,eFemale_13,float,Ever enrolled: Age 13:Female
1838,eMalUrb_13,float,Ever enrolled: Age 13:Male Urban
1839,eMalRur_13,float,Ever enrolled: Age 13:Male Rural
1840,eFemUrb_13,float,Ever enrolled: Age 13:Female Urban
1841,eFemRur_13,float,Ever enrolled: Age 13:Female Rural
1842,eQuint1_13,float,Ever enrolled: Age 13:Poorest quintile
1843,eQuint2_13,float,Ever enrolled: Age 13:Quintile 2
1844,eQuint3_13,float,Ever enrolled: Age 13:Quintile 3
1845,eQuint4_13,float,Ever enrolled: Age 13:Quintile 4
1846,eQuint5_13,float,Ever enrolled: Age 13:Richest quintile
1847,eQuint12_13,float,Ever enrolled: Age 13:Quintiles 1&2
1848,eQuint34_13,float,Ever enrolled: Age 13:Quintiles 3&4
1849,eQuint1x_13,float,Ever enrolled: Age 13:Poorest quintile
1850,eQuint2x_13,float,Ever enrolled: Age 13:Quintile 2
1851,eQuint3x_13,float,Ever enrolled: Age 13:Quintile 3
1852,eQuint4x_13,float,Ever enrolled: Age 13:Quintile 4
1853,eQuint5x_13,float,Ever enrolled: Age 13:Richest quintile
1854,eQuint12x_13,float,Ever enrolled: Age 13:Quintiles 1&2
1855,eQuint34x_13,float,Ever enrolled: Age 13:Quintiles 3&4
1856,eAll_14,float,Ever enrolled: Age 14:All
1857,eUrban_14,float,Ever enrolled: Age 14:Urban
1858,eRural_14,float,Ever enrolled: Age 14:Rural
1859,eMale_14,float,Ever enrolled: Age 14:Male
1860,eFemale_14,float,Ever enrolled: Age 14:Female
1861,eMalUrb_14,float,Ever enrolled: Age 14:Male Urban
1862,eMalRur_14,float,Ever enrolled: Age 14:Male Rural
1863,eFemUrb_14,float,Ever enrolled: Age 14:Female Urban
1864,eFemRur_14,float,Ever enrolled: Age 14:Female Rural
1865,eQuint1_14,float,Ever enrolled: Age 14:Poorest quintile
1866,eQuint2_14,float,Ever enrolled: Age 14:Quintile 2
1867,eQuint3_14,float,Ever enrolled: Age 14:Quintile 3
1868,eQuint4_14,float,Ever enrolled: Age 14:Quintile 4
1869,eQuint5_14,float,Ever enrolled: Age 14:Richest quintile
1870,eQuint12_14,float,Ever enrolled: Age 14:Quintiles 1&2
1871,eQuint34_14,float,Ever enrolled: Age 14:Quintiles 3&4
1872,eQuint1x_14,float,Ever enrolled: Age 14:Poorest quintile
1873,eQuint2x_14,float,Ever enrolled: Age 14:Quintile 2
1874,eQuint3x_14,float,Ever enrolled: Age 14:Quintile 3
1875,eQuint4x_14,float,Ever enrolled: Age 14:Quintile 4
1876,eQuint5x_14,float,Ever enrolled: Age 14:Richest quintile
1877,eQuint12x_14,float,Ever enrolled: Age 14:Quintiles 1&2
1878,eQuint34x_14,float,Ever enrolled: Age 14:Quintiles 3&4
1879,eAll_15,float,Ever enrolled: Age 15:All
1880,eUrban_15,float,Ever enrolled: Age 15:Urban
1881,eRural_15,float,Ever enrolled: Age 15:Rural
1882,eMale_15,float,Ever enrolled: Age 15:Male
1883,eFemale_15,float,Ever enrolled: Age 15:Female
1884,eMalUrb_15,float,Ever enrolled: Age 15:Male Urban
1885,eMalRur_15,float,Ever enrolled: Age 15:Male Rural
1886,eFemUrb_15,float,Ever enrolled: Age 15:Female Urban
1887,eFemRur_15,float,Ever enrolled: Age 15:Female Rural
1888,eQuint1_15,float,Ever enrolled: Age 15:Poorest quintile
1889,eQuint2_15,float,Ever enrolled: Age 15:Quintile 2
1890,eQuint3_15,float,Ever enrolled: Age 15:Quintile 3
1891,eQuint4_15,float,Ever enrolled: Age 15:Quintile 4
1892,eQuint5_15,float,Ever enrolled: Age 15:Richest quintile
1893,eQuint12_15,float,Ever enrolled: Age 15:Quintiles 1&2
1894,eQuint34_15,float,Ever enrolled: Age 15:Quintiles 3&4
1895,eQuint1x_15,float,Ever enrolled: Age 15:Poorest quintile
1896,eQuint2x_15,float,Ever enrolled: Age 15:Quintile 2
1897,eQuint3x_15,float,Ever enrolled: Age 15:Quintile 3
1898,eQuint4x_15,float,Ever enrolled: Age 15:Quintile 4
1899,eQuint5x_15,float,Ever enrolled: Age 15:Richest quintile
1900,eQuint12x_15,float,Ever enrolled: Age 15:Quintiles 1&2
1901,eQuint34x_15,float,Ever enrolled: Age 15:Quintiles 3&4
1902,eAll_16,float,Ever enrolled: Age 16:All
1903,eUrban_16,float,Ever enrolled: Age 16:Urban
1904,eRural_16,float,Ever enrolled: Age 16:Rural
1905,eMale_16,float,Ever enrolled: Age 16:Male
1906,eFemale_16,float,Ever enrolled: Age 16:Female
1907,eMalUrb_16,float,Ever enrolled: Age 16:Male Urban
1908,eMalRur_16,float,Ever enrolled: Age 16:Male Rural
1909,eFemUrb_16,float,Ever enrolled: Age 16:Female Urban
1910,eFemRur_16,float,Ever enrolled: Age 16:Female Rural
1911,eQuint1_16,float,Ever enrolled: Age 16:Poorest quintile
